dataset,row_category,column_category,co_grouped_pairs,eligible_pairs,co_grouping_percent
medqa,Demographics,Treatment & response,0,40,0.000000
medqa,Demographics,Vitals & anthropometrics,0,119,0.000000
medqa,Diagnosis & reasoning,Anatomy & localization,0,0,
medqa,Diagnosis & reasoning,Care context,0,6,0.000000
medqa,Diagnosis & reasoning,Demographics,0,16,0.000000
medqa,Diagnosis & reasoning,Diagnosis & reasoning,0,0,
medqa,Diagnosis & reasoning,Diagnostic tests,1,8,12.500000
medqa,Diagnosis & reasoning,"Family, social & lifestyle",0,5,0.000000
medqa,Diagnosis & reasoning,Imaging,0,1,0.000000
medqa,Diagnosis & reasoning,Laboratory & pathology,1,15,6.666667
medqa,Diagnosis & reasoning,Medical history,0,3,0.000000
medqa,Diagnosis & reasoning,Medication & adherence,0,0,
medqa,Diagnosis & reasoning,Mental health & cognition,0,3,0.000000
medqa,Diagnosis & reasoning,Neurologic function,0,0,
medqa,Diagnosis & reasoning,Physical examination,1,8,12.500000
medqa,Diagnosis & reasoning,Reproductive history,0,0,
medqa,Diagnosis & reasoning,"Risk, exposure & trauma",0,0,
medqa,Diagnosis & reasoning,Symptoms,5,15,33.333333
medqa,Diagnosis & reasoning,Timing & course,2,6,33.333333
medqa,Diagnosis & reasoning,Treatment & response,2,9,22.222222
medqa,Diagnosis & reasoning,Vitals & anthropometrics,0,10,0.000000
medqa,Diagnostic tests,Anatomy & localization,0,0,
medqa,Diagnostic tests,Care context,0,13,0.000000
medqa,Diagnostic tests,Demographics,0,32,0.000000
medqa,Diagnostic tests,Diagnosis & reasoning,1,8,12.500000
medqa,Diagnostic tests,Diagnostic tests,6,8,75.000000
medqa,Diagnostic tests,"Family, social & lifestyle",5,21,23.809524
medqa,Diagnostic tests,Imaging,0,0,
medqa,Diagnostic tests,Laboratory & pathology,2,17,11.764706
medqa,Diagnostic tests,Medical history,0,10,0.000000
medqa,Diagnostic tests,Medication & adherence,0,3,0.000000
medqa,Diagnostic tests,Mental health & cognition,0,1,0.000000
medqa,Diagnostic tests,Neurologic function,2,2,100.000000
medqa,Diagnostic tests,Physical examination,0,16,0.000000
medqa,Diagnostic tests,Reproductive history,0,0,
medqa,Diagnostic tests,"Risk, exposure & trauma",0,2,0.000000
medqa,Diagnostic tests,Symptoms,3,30,10.000000
medqa,Diagnostic tests,Timing & course,3,10,30.000000
medqa,Diagnostic tests,Treatment & response,0,2,0.000000
medqa,Diagnostic tests,Vitals & anthropometrics,2,20,10.000000
medqa,"Family, social & lifestyle",Anatomy & localization,0,0,
medqa,"Family, social & lifestyle",Care context,0,42,0.000000
medqa,"Family, social & lifestyle",Demographics,2,94,2.127660
medqa,"Family, social & lifestyle",Diagnosis & reasoning,0,5,0.000000
medqa,"Family, social & lifestyle",Diagnostic tests,5,21,23.809524
medqa,"Family, social & lifestyle","Family, social & lifestyle",2,45,4.444444
medqa,"Family, social & lifestyle",Imaging,1,8,12.500000
medqa,"Family, social & lifestyle",Laboratory & pathology,3,86,3.488372
medqa,"Family, social & lifestyle",Medical history,2,32,6.250000
medqa,"Family, social & lifestyle",Medication & adherence,1,16,6.250000
medqa,"Family, social & lifestyle",Mental health & cognition,2,30,6.666667
medqa,"Family, social & lifestyle",Neurologic function,2,7,28.571429
medqa,"Family, social & lifestyle",Physical examination,2,48,4.166667
medqa,"Family, social & lifestyle",Reproductive history,1,6,16.666667
medqa,"Family, social & lifestyle","Risk, exposure & trauma",0,4,0.000000
medqa,"Family, social & lifestyle",Symptoms,5,72,6.944444
medqa,"Family, social & lifestyle",Timing & course,2,22,9.090909
medqa,"Family, social & lifestyle",Treatment & response,0,6,0.000000
medqa,"Family, social & lifestyle",Vitals & anthropometrics,0,51,0.000000
medqa,Imaging,Anatomy & localization,2,4,50.000000
medqa,Imaging,Care context,1,22,4.545455
medqa,Imaging,Demographics,1,54,1.851852
medqa,Imaging,Diagnosis & reasoning,0,1,0.000000
medqa,Imaging,Diagnostic tests,0,0,
medqa,Imaging,"Family, social & lifestyle",1,8,12.500000
medqa,Imaging,Imaging,4,8,50.000000
medqa,Imaging,Laboratory & pathology,9,40,22.500000
medqa,Imaging,Medical history,3,15,20.000000
medqa,Imaging,Medication & adherence,0,8,0.000000
medqa,Imaging,Mental health & cognition,3,10,30.000000
medqa,Imaging,Neurologic function,0,11,0.000000
medqa,Imaging,Physical examination,8,19,42.105263
medqa,Imaging,Reproductive history,1,21,4.761905
medqa,Imaging,"Risk, exposure & trauma",1,4,25.000000
medqa,Imaging,Symptoms,10,35,28.571429
medqa,Imaging,Timing & course,0,8,0.000000
medqa,Imaging,Treatment & response,1,8,12.500000
medqa,Imaging,Vitals & anthropometrics,1,29,3.448276
medqa,Laboratory & pathology,Anatomy & localization,1,8,12.500000
medqa,Laboratory & pathology,Care context,2,44,4.545455
medqa,Laboratory & pathology,Demographics,0,121,0.000000
medqa,Laboratory & pathology,Diagnosis & reasoning,1,15,6.666667
medqa,Laboratory & pathology,Diagnostic tests,2,17,11.764706
medqa,Laboratory & pathology,"Family, social & lifestyle",3,86,3.488372
medqa,Laboratory & pathology,Imaging,9,40,22.500000
medqa,Laboratory & pathology,Laboratory & pathology,8,149,5.369128
medqa,Laboratory & pathology,Medical history,3,14,21.428571
medqa,Laboratory & pathology,Medication & adherence,3,14,21.428571
medqa,Laboratory & pathology,Mental health & cognition,0,17,0.000000
medqa,Laboratory & pathology,Neurologic function,0,13,0.000000
medqa,Laboratory & pathology,Physical examination,13,77,16.883117
medqa,Laboratory & pathology,Reproductive history,0,12,0.000000
